shlok_number,shlok_text
180,ਅਖਰੀ ਿਗਆਨੁ ਗੀਤ ਗੁਣ ਗਾਹ ॥
181,ਅਖਰੀ ਿਲਖਣੁ ਬੋਲਣੁ ਬਾਿਣ ॥
182,ਅਖਰਾ ਿਸਿਰ ਸੰਜੋਗੁ ਵਖਾਿਣ ॥
183,ਿਜਿਨ ਏਿਹ ਿਲਖੇ ਿਤਸੁ ਿਸਿਰ ਨਾਿਹ ॥
184,ਿਜਵ ਫਰੁ ਮਾਏ ਿਤਵ ਿਤਵ ਪਾਿਹ ॥
185,ਜੇਤਾ ਕੀਤਾ ਤੇਤਾ ਨਾਉ ॥
186,ਿਵਣੁ ਨਾਵੈ ਨਾਹੀ ਕੋ ਥਾਉ ॥
187,ਕੁਦਰਿਤ ਕਵਣ ਕਹਾ ਵੀਚਾਰ ੁ ॥
188,ਵਾਿਰਆ ਨ ਜਾਵਾ ਏਕ ਵਾਰ ॥
189,ਜੋ ਤੁਧੁ ਭਾਵੈ ਸਾਈ ਭਲੀ ਕਾਰ ॥
190,ਤੂ ਸਦਾ ਸਲਾਮਿਤ ਿਨਰਕੰ ਾਰ ॥
191,੧੯ ॥
192,ਭਰੀਐ ਹਥੁ ਪੈਰ ੁ ਤਨੁ ਦੇਹ ॥
193,ਪਾਣੀ ਧੋਤੈ ਉਤਰਸੁ ਖੇਹ ॥
194,ਮੂਤ ਪਲੀਤੀ ਕਪੜੁ ਹੋਇ ॥
195,ਦੇ ਸਾਬੂਣੁ ਲਈਐ ਓਹ ੁ ਧਇੋ ॥
196,ਭਰੀਐ ਮਿਤ ਪਾਪਾ ਕੈ ਸੰਿਗ ॥
197,ਓਹ ੁ ਧੋਪੈ ਨਾਵੈ ਕੈ ਰਿੰ ਗ ॥
198,ਪੁਨੰ ੀ ਪਾਪੀ ਆਖਣੁ ਨਾਿਹ ॥
199,ਕਿਰ ਕਿਰ ਕਰਣਾ ਿਲਿਖ ਲ ੈ ਜਾਹ ੁ ॥
200,ਆਪੇ ਬੀਿਜ ਆਪੇ ਹੀ ਖਾਹ ੁ ॥
201,ਨਾਨਕ ਹਕੁ ਮੀ ਆਵਹ ੁ ਜਾਹ ੁ ॥
202,੨੦ ॥
203,ਤੀਰਥੁ ਤਪੁ ਦਇਆ ਦਤੁ ਦਾਨੁ ॥
204,ਜੇ ਕੋ ਪਾਵੈ ਿਤਲ ਕਾ ਮਾਨੁ ॥
205,ਸੁਿਣਆ ਮੰਿਨਆ ਮਿਨ ਕੀਤਾ ਭਾਉ ॥
206,ਅੰਤਰਗਿਤ ਤੀਰਿਥ ਮਿਲ ਨਾਉ ॥
207,ਸਿਭ ਗੁਣ ਤੇਰੇ ਮੈ ਨਾਹੀ ਕੋਇ ॥
208,ਿਵਣੁ ਗੁਣ ਕੀਤ ੇ ਭਗਿਤ ਨ ਹੋਇ ॥
209,ਸੁਅਸਿਤ ਆਿਥ ਬਾਣੀ ਬਰਮਾਉ ॥
210,ਸਿਤ ਸੁਹਾਣੁ ਸਦਾ ਮਿਨ ਚਾਉ ॥
211,ਕਵਣੁ ਸੁ ਵੇਲਾ ਵਖਤੁ ਕਵਣੁ ਕਵਣ ਿਥਿਤ ਕਵਣੁ ਵਾਰ ੁ ॥
212,ਕਵਿਣ ਿਸ ਰਤੁ ੀ ਮਾਹ ੁ ਕਵਣੁ ਿਜਤੁ ਹੋਆ ਆਕਾਰ ੁ ॥
213,ਵੇਲ ਨ ਪਾਈਆ ਪੰਡਤੀ ਿਜ ਹੋਵੈ ਲੇਖੁ ਪੁਰਾਣੁ ॥
214,ਵਖਤੁ ਨ ਪਾਇਓ ਕਾਦੀਆ ਿਜ ਿਲਖਿਨ ਲੇਖੁ ਕੁਰਾਣੁ ॥
215,ਿਥਿਤ ਵਾਰ ੁ ਨਾ ਜੋਗੀ ਜਾਣੈ ਰਿੁ ਤ ਮਾਹ ੁ ਨਾ ਕਈੋ ॥
216,ਜਾ ਕਰਤਾ ਿਸਰਠੀ ਕਉ ਸਾਜੇ ਆਪੇ ਜਾਣੈ ਸਈੋ ॥
217,ਿਕਵ ਕਿਰ ਆਖਾ ਿਕਵ 5 ਸਾਲਾਹੀ ਿਕਉ ਵਰਨੀ ਿਕਵ ਜਾਣਾ ॥
218,ਨਾਨਕ ਆਖਿਣ ਸਭੁ ਕੋ ਆਖੈ ਇਕ ਦੂ ਇਕੁ ਿਸਆਣਾ ॥
219,ਵਡਾ ਸਾਿਹਬੁ ਵਡੀ ਨਾਈ ਕੀਤਾ ਜਾ ਕਾ ਹੋਵੈ ॥
220,ਨਾਨਕ ਜੇ ਕੋ ਆਪੌ ਜਾਣੈ ਅਗੈ ਗਇਆ ਨ ਸੋਹੈ ॥
221,੨੧ ॥
222,ਪਾਤਾਲਾ ਪਾਤਾਲ ਲਖ ਆਗਾਸਾ ਆਗਾਸ ॥
223,ਓੜਕ ਓੜਕ ਭਾਿਲ ਥਕੇ ਵੇਦ ਕਹਿਨ ਇਕ ਵਾਤ ॥
224,ਸਹਸ ਅਠਾਰਹ ਕਹਿਨ ਕਤੇਬਾ ਅਸੁਲੂ ਇਕੁ ਧਾਤੁ ॥
225,ਲੇਖਾ ਹੋਇ ਤ ਿਲਖੀਐ ਲੇਖੈ ਹੋਇ ਿਵਣਾਸੁ ॥
226,ਨਾਨਕ ਵਡਾ ਆਖੀਐ ਆਪੇ ਜਾਣੈ ਆਪੁ ॥
227,੨੨ ॥
228,ਸਾਲਾਹੀ ਸਾਲਾਿਹ ਏਤੀ ਸੁਰਿਤ ਨ ਪਾਈਆ ॥
229,ਨਦੀਆ ਅਤੈ ਵਾਹ ਪਵਿਹ ਸਮੁੰਿਦ ਨ ਜਾਣੀਅਿਹ ॥
230,ਸਮੁੰਦ ਸਾਹ ਸਲੁ ਤਾਨ ਿਗਰਹਾ ਸੇਤੀ ਮਾਲੁ ਧਨੁ ॥
231,ਕੀੜੀ ਤੁਿਲ ਨ ਹੋਵਨੀ ਜੇ ਿਤਸੁ ਮਨਹ ੁ ਨ ਵੀਸਰਿਹ ॥
232,੨੩ ॥
233,ਅੰਤੁ ਨ ਿਸਫਤੀ ਕਹਿਣ ਨ ਅੰਤੁ ॥
234,ਅਤੰ ੁ ਨ ਕਰਣੈ ਦੇਿਣ ਨ ਅੰਤੁ ॥
